feature,gain
heikinTokuten_min,2399.0624236106873
heikinTokuten_mean,1815.0089839935304
heikinTokuten_cv,1665.502483844757
sasiCnt_cv,1582.3520294666291
heikinTokuten_range_x_backCnt_cv,1434.0590118408204
heikinTokuten_cv_x_nigeCnt_cv,1422.8574615001678
heikinTokuten_std_x_sasiCnt_cv,1402.7999948859215
nigeCnt_std,1362.4515583992004
makuriCnt_std,1357.2511781215667
heikinTokuten_max,1353.5494830131531
markCnt_cv,1350.1411251544953
entry_count,1313.9778716087342
backCnt_cv,1265.9962062835693
makuriCnt_cv,1179.3743711948396
backCnt_std,1128.4343334197997
markCnt_std,1112.2660830020905
nigeCnt_cv_x_makuriCnt_cv,1102.916669845581
heikinTokuten_std,1098.5590476989746
sasiCnt_std,1090.32872672081
nigeCnt_cv,901.8325626373291
heikinTokuten_range,843.8756828784942
day,820.2311943054199
makuriCnt_mean,718.3404971122742
sasiCnt_mean,711.6450543403625
entry_count_x_heikinTokuten_cv,681.4532713890076
race_no_norm,673.6866015434265
backCnt_mean,673.1736767768859
markCnt_mean,554.4526504993439
style_total,549.1053888320923
month,527.5199509620667
nigeCnt_mean,518.4217120170593
day_of_week,501.57198157310484
backCnt_cv_squared,494.5790142059326
race_no_int,436.020481967926
backCnt_max,388.59109296798704
heikinTokuten_range_log,351.91171340942384
nigeCnt_max,322.02924089431764
heikinTokuten_cv_squared,319.21335487365724
style_oikomi_ratio,310.1896704673767
meeting_icon,291.7121862411499
entry_count_log,290.52867794036865
sasiCnt_max,258.28547325134275
makuriCnt_max,247.97616987228395
style_ryo,242.08297729492188
heikinTokuten_std_squared,222.4283471107483
sasiCnt_range,197.61842255592347
nigeCnt_sum_log,191.1776827812195
style_ryo_ratio,190.47769536972046
style_nige_ratio,179.05007934570312
race_no_pre,167.12165393829346
style_nige,164.34127759933472
backCnt_range,152.38618650436402
style_oikomi,144.31105060577391
markCnt_range,110.86420698165894
markCnt_max,84.72692356109619
makuriCnt_range,60.64268970489502
nigeCnt_range,53.401618003845215
sasiCnt_min,35.517476081848145
markCnt_min,7.459180068969727
is_weekend,5.359199905395508
nigeCnt_min,0.0
makuriCnt_min,0.0
backCnt_min,0.0
ozz_flg,0.0
entry_intensity,0.0
year,0.0
