feature,gain
entry_count,6855.759825706482
heikinTokuten_cv,6466.652458190918
heikinTokuten_mean,5406.4960289001465
heikinTokuten_min,4783.9723081588745
makuriCnt_std,3458.905694961548
nigeCnt_std,3193.2494955062866
heikinTokuten_max,3080.0605278015137
score_dominance,2715.3179969787598
score_gap_top3_bottom,2580.032307624817
heikinTokuten_cv_x_nigeCnt_cv,2260.078808784485
score_concentration,2139.211700439453
sasiCnt_cv,1865.2153005599976
heikinTokuten_std_x_sasiCnt_cv,1802.2954959869385
backCnt_cv,1793.2061042785645
style_total,1772.885892868042
heikinTokuten_range_x_backCnt_cv,1538.8170986175537
sasiCnt_mean,1241.4760065078735
score_gap_top2,1214.2208042144775
markCnt_cv,1162.9328060150146
month,1072.6564044952393
nigeCnt_mean,972.896297454834
backCnt_cv_squared,946.9261102676392
backCnt_std,946.9011030197144
race_no_norm,934.1538906097412
score_top3_mean,898.4567012786865
makuriCnt_cv,896.540599822998
heikinTokuten_std,882.6178979873657
backCnt_mean,879.3761053085327
nigeCnt_cv_x_makuriCnt_cv,829.618501663208
sasiCnt_std,827.7922048568726
markCnt_std,769.4348001480103
makuriCnt_mean,693.6146945953369
heikinTokuten_range,630.6909952163696
style_oikomi_ratio,612.4954023361206
kyakusitu_entropy,577.6923007965088
day,540.674898147583
race_no_int,533.3742990493774
entry_count_x_heikinTokuten_cv,523.8855056762695
nigeCnt_cv,377.5371961593628
markCnt_mean,365.8216962814331
backCnt_range,327.76369857788086
style_nige_ratio,301.56110095977783
day_of_week,276.08909797668457
nigeCnt_sum_log,241.72389793395996
kyuhan_A2_count,232.4237985610962
backCnt_max,216.03790092468262
meeting_icon,204.85609912872314
makuriCnt_max,198.5228977203369
style_oikomi,193.30590057373047
style_nige,187.9788999557495
kyuhan_entropy,170.39419746398926
sasiCnt_max,149.9512996673584
style_ryo,148.16849899291992
heikinTokuten_range_log,143.32480144500732
kyuhan_A1_count,124.38699913024902
sasiCnt_range,111.06520080566406
nigeCnt_max,98.66559982299805
markCnt_max,82.39360237121582
kyuhan_S1_count,79.16129970550537
kyuhan_S2_count,55.90860176086426
style_ryo_ratio,50.1703987121582
kyuhan_A3_count,34.35719871520996
makuriCnt_range,17.612699508666992
race_no_pre,0.0
sasiCnt_min,0.0
markCnt_min,0.0
markCnt_range,0.0
nigeCnt_range,0.0
heikinTokuten_std_squared,0.0
heikinTokuten_cv_squared,0.0
kyakusitu_oi_count,0.0
is_weekend,0.0
entry_count_log,0.0
kyakusitu_nige_count,0.0
score_gap_max_min,0.0
kyakusitu_nige_ratio,0.0
kyakusitu_ji_count,0.0
kyakusitu_ryo_count,0.0
kyuhan_S_ratio,0.0
nigeCnt_gap_max_min,0.0
makuriCnt_gap_max_min,0.0
sasiCnt_gap_max_min,0.0
markCnt_gap_max_min,0.0
backCnt_gap_max_min,0.0
