feature,gain
score_q25,10232.414659500122
entry_count,5989.224225997925
heikinTokuten_cv,3969.741102218628
score_concentration_x,3444.2645206451416
nigeCnt_std,2884.240508079529
makuriCnt_std,2653.042699813843
score_gap_top3_bottom_x,2387.503182411194
score_dominance_x,2246.2727842330933
category_x_month,2211.1282024383545
heikinTokuten_cv_x_nigeCnt_cv,1879.3751831054688
score_q75,1873.260398864746
heikinTokuten_std_x_sasiCnt_cv,1736.3498010635376
style_total,1530.7445983886719
backCnt_cv,1528.428698539734
heikinTokuten_max,1483.9813976287842
sasiCnt_cv,1460.0003032684326
heikinTokuten_range_x_backCnt_cv,1387.6994972229004
sasiCnt_skew_proxy,1165.2112083435059
score_kurtosis_proxy,1024.1400022506714
race_no_norm,913.0355968475342
sasiCnt_mean,864.5892066955566
inner_avg_score,806.3161058425903
backCnt_cv_squared,805.1308059692383
inner_outer_gap,776.1180009841919
month,774.0429039001465
backCnt_mean,757.9846954345703
markCnt_cv,692.0292978286743
makuriCnt_mean,688.5894012451172
nigeCnt_mean,686.6026020050049
backCnt_skew_proxy,675.0763969421387
sasiCnt_std,649.905403137207
heikinTokuten_range,560.6755046844482
makuriCnt_cv,534.0375919342041
nigeCnt_cv_x_makuriCnt_cv,521.4669961929321
style_oikomi_ratio,521.067304611206
nigeCnt_skew_proxy,514.8662099838257
heikinTokuten_std,500.296799659729
score_gap_top2,462.46630096435547
markCnt_std,455.73970127105713
backCnt_std,443.46960067749023
kyakusitu_entropy,442.5192041397095
entry_count_x_heikinTokuten_cv,413.4079990386963
race_no_int,405.84039974212646
score_top3_mean,402.8478994369507
kyuhan_change_ratio,402.6453037261963
track_x_category,371.66229820251465
makuriCnt_skew_proxy,365.80399894714355
markCnt_mean,359.54759788513184
heikinTokuten_mean,320.40639877319336
day,305.92619609832764
track_x_month,277.6990032196045
nigeCnt_cv,254.6947956085205
backCnt_max,240.01029872894287
heikinTokuten_min,227.53849983215332
outer_avg_score,187.6599998474121
heikinTokuten_range_log,171.1033000946045
kyuhan_A2_count,160.5098991394043
style_oikomi,159.37139892578125
style_nige_ratio,153.44840049743652
kyuhan_A3_count,152.17639923095703
style_nige,149.24910163879395
sasiCnt_max,141.49009895324707
backCnt_range,128.45090103149414
nigeCnt_sum_log,121.98659896850586
style_ryo,120.97459983825684
kyuhan_A1_count,116.25
day_of_week,113.84460163116455
meeting_icon,98.71809959411621
style_ryo_ratio,90.53289985656738
nigeCnt_range,87.56280136108398
downgraded_count,66.82529830932617
markCnt_max,63.6775016784668
upgraded_count,46.2544002532959
nigeCnt_max,46.125301361083984
kyuhan_entropy,41.83549880981445
sasiCnt_range,39.661001205444336
makuriCnt_max,30.888999938964844
markCnt_range,18.327499389648438
markCnt_min,0.0
sasiCnt_min,0.0
race_no_pre,0.0
makuriCnt_range,0.0
heikinTokuten_cv_squared,0.0
heikinTokuten_std_squared,0.0
entry_count_log,0.0
kyakusitu_nige_count,0.0
kyakusitu_oi_count,0.0
score_gap_max_min,0.0
is_weekend,0.0
kyuhan_S1_count,0.0
kyakusitu_nige_ratio,0.0
kyakusitu_ji_count,0.0
kyakusitu_ryo_count,0.0
score_gap_top3_bottom_y,0.0
score_dominance_y,0.0
nigeCnt_gap_max_min,0.0
makuriCnt_gap_max_min,0.0
kyuhan_S_ratio,0.0
kyuhan_S2_count,0.0
score_concentration_y,0.0
backCnt_gap_max_min,0.0
sasiCnt_gap_max_min,0.0
markCnt_gap_max_min,0.0
top3_inner_ratio,0.0
score_iqr,0.0
