feature,gain
entry_count,1863.691424369812
heikinTokuten_cv_x_nigeCnt_cv,1066.1856489181519
score_gap_top2,996.2470555305481
makuriCnt_std,971.2271871566772
sasiCnt_cv,878.837682723999
heikinTokuten_min,856.3066959381104
backCnt_std,822.5447587966919
inner_outer_gap,670.1186981201172
score_dominance,651.6162967681885
makuriCnt_skew_proxy,636.0024480819702
nigeCnt_cv_x_makuriCnt_cv,618.0190963745117
nigeCnt_std,608.9670505523682
race_no_norm,596.5514764785767
heikinTokuten_std,576.487096786499
score_kurtosis_proxy,575.5846319198608
markCnt_cv,544.2340707778931
heikinTokuten_range_x_backCnt_cv,517.3318996429443
makuriCnt_cv,502.58794116973877
sasiCnt_skew_proxy,477.7054090499878
score_gap_top3_bottom,465.3311724662781
heikinTokuten_std_x_sasiCnt_cv,439.68219470977783
category_x_month,436.38917303085327
nigeCnt_skew_proxy,410.0018186569214
race_no_int,379.87116718292236
markCnt_std,349.8646306991577
sasiCnt_std,339.2268018722534
inner_avg_score,337.06400775909424
track_x_category,309.62675952911377
heikinTokuten_max,308.81629943847656
heikinTokuten_cv,300.92240047454834
heikinTokuten_range,300.6604013442993
backCnt_skew_proxy,290.1119108200073
day_of_week,270.59529972076416
backCnt_cv,269.2021999359131
backCnt_mean,262.52434253692627
outer_avg_score,262.1116991043091
style_oikomi_ratio,228.44750928878784
score_top3_mean,220.44560146331787
nigeCnt_cv,206.60755825042725
kyuhan_A2_count,201.96629905700684
makuriCnt_mean,200.01758861541748
nigeCnt_mean,194.43889999389648
sasiCnt_mean,192.4084882736206
track_x_month,185.5265007019043
score_q75,179.6329002380371
markCnt_mean,166.3646993637085
score_q25,162.49430084228516
day,150.01973819732666
kyakusitu_entropy,148.59897899627686
track_x_grade,113.91390037536621
backCnt_max,111.33639907836914
entry_count_x_heikinTokuten_cv,110.53453922271729
sasiCnt_max,83.71720027923584
meeting_icon,78.53969955444336
style_ryo,76.67009925842285
score_concentration,69.76730060577393
style_ryo_ratio,67.30717945098877
kyuhan_A1_count,65.96339988708496
style_oikomi,61.295599937438965
downgraded_count,61.21940040588379
kyuhan_change_ratio,58.70217037200928
style_nige,58.19180107116699
makuriCnt_max,56.42883110046387
upgrade_ratio,48.71100044250488
style_total,46.50890064239502
heikinTokuten_mean,44.6469202041626
markCnt_max,43.70559883117676
heikinTokuten_range_log,41.29859924316406
month,40.553799629211426
nigeCnt_max,38.14300060272217
kyuhan_entropy,35.22439956665039
style_nige_ratio,31.866799354553223
nigeCnt_sum_log,17.804800033569336
kyuhan_S2_count,15.684700012207031
upgraded_count,12.644499778747559
backCnt_range,11.505900382995605
backCnt_cv_squared,10.9197998046875
markCnt_range,10.542200088500977
sasiCnt_min,9.727999687194824
race_no_pre,0.0
sasiCnt_range,0.0
makuriCnt_range,0.0
markCnt_min,0.0
nigeCnt_range,0.0
kyakusitu_oi_count,0.0
kyakusitu_ryo_count,0.0
kyuhan_A3_count,0.0
kyuhan_S1_count,0.0
kyakusitu_nige_count,0.0
heikinTokuten_std_squared,0.0
is_weekend,0.0
heikinTokuten_cv_squared,0.0
entry_count_log,0.0
score_gap_max_min,0.0
kyakusitu_ji_count,0.0
kyakusitu_nige_ratio,0.0
nigeCnt_gap_max_min,0.0
kyuhan_S_ratio,0.0
makuriCnt_gap_max_min,0.0
sasiCnt_gap_max_min,0.0
backCnt_gap_max_min,0.0
markCnt_gap_max_min,0.0
syaban_std,0.0
syaban_mean,0.0
score_skewness_proxy,0.0
top3_inner_ratio,0.0
score_iqr,0.0
track_target_enc,0.0
category_target_enc,0.0
grade_target_enc,0.0
track_x_category_target_enc,0.0
track_x_month_target_enc,0.0
