feature,gain
score_q25,10334.509782791138
entry_count,6290.538115501404
heikinTokuten_cv,4121.23237991333
nigeCnt_std,3891.990394592285
score_concentration,3633.211117744446
makuriCnt_std,3303.518095970154
category_x_month,2735.7766122817993
score_dominance,2685.4975938796997
score_gap_top3_bottom,2657.391492843628
heikinTokuten_cv_x_nigeCnt_cv,2105.7649841308594
heikinTokuten_std_x_sasiCnt_cv,2041.7933053970337
score_q75,1994.5184907913208
backCnt_cv,1934.0442905426025
sasiCnt_cv,1844.505742073059
style_total,1759.5731086730957
sasiCnt_skew_proxy,1689.596305847168
heikinTokuten_max,1647.4631986618042
score_kurtosis_proxy,1594.4324073791504
heikinTokuten_range_x_backCnt_cv,1490.610598564148
markCnt_cv,1480.3589992523193
race_no_norm,1474.50869846344
backCnt_skew_proxy,1277.7361993789673
makuriCnt_cv,1233.365496635437
inner_avg_score,1152.9177055358887
month,1144.8019037246704
backCnt_mean,1079.4578981399536
sasiCnt_mean,1066.1742086410522
style_oikomi_ratio,1055.2425022125244
inner_outer_gap,1049.4180030822754
sasiCnt_std,1031.804599761963
score_gap_top2,1001.4292039871216
backCnt_cv_squared,986.9678010940552
markCnt_std,959.4198951721191
makuriCnt_mean,927.9708013534546
track_x_category,816.3751020431519
nigeCnt_skew_proxy,810.8750982284546
track_x_month,805.1706943511963
heikinTokuten_range,804.2986078262329
nigeCnt_cv_x_makuriCnt_cv,761.2650966644287
backCnt_std,726.5517015457153
heikinTokuten_std,724.4069976806641
nigeCnt_mean,641.8342981338501
makuriCnt_skew_proxy,585.1309661865234
day,548.6972999572754
score_top3_mean,538.6071968078613
kyuhan_change_ratio,517.9354047775269
backCnt_range,499.8440999984741
entry_count_x_heikinTokuten_cv,487.40090465545654
heikinTokuten_min,473.24380016326904
nigeCnt_cv,459.28069400787354
nigeCnt_sum_log,428.20439624786377
kyakusitu_entropy,419.56579875946045
outer_avg_score,396.7671995162964
race_no_int,379.70249938964844
markCnt_mean,355.69879722595215
heikinTokuten_mean,307.76500129699707
track_x_grade,296.87649726867676
kyuhan_A2_count,246.82859897613525
heikinTokuten_range_log,235.3601016998291
day_of_week,202.5463991165161
style_nige_ratio,200.69489860534668
style_ryo,187.56729888916016
nigeCnt_max,182.34429931640625
upgrade_ratio,181.91209983825684
meeting_icon,181.51742935180664
sasiCnt_max,168.31729888916016
downgraded_count,164.6908016204834
style_nige,157.49610233306885
style_ryo_ratio,148.15109634399414
kyuhan_entropy,131.0777988433838
kyuhan_A3_count,126.94280052185059
kyuhan_A1_count,110.55059814453125
markCnt_max,104.36330032348633
style_oikomi,101.81920051574707
backCnt_max,93.58810043334961
makuriCnt_max,58.591501235961914
sasiCnt_range,58.57819938659668
kyuhan_S2_count,16.655799865722656
kyuhan_S1_count,0.0
makuriCnt_range,0.0
