race_encp,race_date,track,race_no,grade,syumoku,syabanBgColorInfo,syabanCharColorInfo,syaban,wakuban,sensyuRegistNo,sensyuName,ketujyouTuikaHojyuColorInfo,ketujyouTuikaHojyu,huKen,prevKyuhan,kyuhan,kyakusitu,heikinTokuten,nigeCnt,makuriCnt,sasiCnt,markCnt,backCnt
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_1_bk,base_color_1,1,1,015598,大川　剛,,,青　森,S2,S2,逃,104.35,3,5,0,0,11
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_2_bk,base_color_2,2,2,012669,伊藤　正樹,,,愛　知,S2,S2,追,98.78,0,2,7,2,0
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_3_bk,base_color_3,3,3,014942,清水　剛志,,,福　井,S2,S2,両,100.60,0,0,4,0,6
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_4_bk,base_color_4,4,4,013912,金成　和幸,,,福　島,S2,S2,追,98.00,0,0,0,0,0
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_5_bk,base_color_5,5,4,014148,岸澤　賢太,,,埼　玉,S2,S2,両,99.12,2,0,6,1,6
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_6_bk,base_color_6,6,5,015446,林　敬宏,,,愛　知,A1,S2,逃,92.58,4,2,1,1,13
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_7_bk,base_color_7,7,5,014210,和田　圭,,,宮　城,S1,S1,追,109.61,0,0,11,4,0
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_8_bk,base_color_8,8,6,014454,上原　龍,,,長　野,S2,S2,両,95.73,0,0,1,1,0
4y6dPhGvcrSladdkbHuti9vHCQ1NCw-8Y34TI82lw_xLJiSkntVfZ0w45xRGubbu,20240125,いわき平,1,G3,Ｓ級一次予選,base_color_9_bk,base_color_9,9,6,013790,稲垣　裕之,,,京　都,S1,S1,両,107.06,0,0,3,5,0
4y6dPhGvcrSladdkbHuti-eRQNNrreuK-Gi5jCatBtdK8dcecMqfXl2sYKcq9_8m,20240125,いわき平,2,G3,Ｓ級一次予選,base_color_1_bk,base_color_1,1,1,014112,小川　勇介,,,福　岡,S1,S1,追,108.76,0,0,3,1,0
