race_encp,race_date,track,race_no,grade,syumoku,syoriKbn,syusouInfoExistFlg,yudoSensyuName,raceResult1Syaban,raceResult2Syaban,backCnt1Syaban,backCnt2Syaban,lastUpdateTime
yC7XumccvtJWMHkPMjhvBLghG4nufhBpLHntZBW4hZKwGRCY0KVx0QYMTAlLrz8O,20241001,函館,1,F1,Ａ級予選,1,1,中野　良,1,3,"4,5",,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBL9VaPO4NmcmOTDrv-m0UXxIejG9OOtnUBXxR_fkqtfZ,20241001,函館,2,F1,Ａ級予選,1,1,小田桐義継,4,3,4,6,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBKYaRjz0WzHMv9dQdJNOdBB2MZdpjVk9UfYNrvRs-L95,20241001,函館,3,F1,Ａ級予選,1,1,明田　春喜,3,1,3,5,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBILHn61C0nSCD41zHq4iy-RSiBkXne55k4WCoonLuvwA,20241001,函館,4,F1,Ａ級予選,1,1,中野　良,1,2,1,5,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBLnWwnWP5tUIJXvYgpE0LE8dtVcA4EFQ2JlTqcaXckfZ,20241001,函館,5,F1,Ａ級初日特選,1,1,小田桐義継,1,7,7,6,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBF948yLv7hoPKiPpD50tcOA5PO1UOaydIMXWqZbfUuxp,20241001,函館,6,F1,Ｓ級予選,1,1,山口　慎吾,5,2,1,3,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBGVG8bgGUM-njHqFJnHe8m8PYIYc1ilanD8duKwW9MmT,20241001,函館,7,F1,Ｓ級予選,1,1,浦崎　貴史,1,4,6,4,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBEzp8lFI8RLI58z2bO48DYAxkUdsRsOgbdZ-8EGe38JV,20241001,函館,8,F1,Ｓ級予選,1,1,明田　春喜,3,1,1,7,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBGMlT5SXP5gs27PXMwJ2BfmrNzoLPMcE3A1_7I5zKnbP,20241001,函館,9,F1,Ｓ級予選,1,1,山口　慎吾,1,3,3,2,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBA1jT5D5--YOo0CHALBXQ03uT7P4mFbI4teksYcuQtHY,20241001,函館,10,F1,Ｓ級予選,1,1,浦崎　貴史,4,1,5,7,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBA5fwpOw5RS35D_j6lsQNlON269u-kUR_XUFS3MDvRfo,20241001,函館,11,F1,Ｓ級予選,1,1,明田　春喜,1,4,6,7,2024/10/01 07:02&nbsp;更新
yC7XumccvtJWMHkPMjhvBNfbpfUxmnhAfdc0msj9KtxCUpg1BF745hDorz9qFsnO,20241001,函館,12,F1,Ｓ級初日特選,1,1,山口　慎吾,3,2,1,4,2024/10/01 13:47&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqVwJXr3A3lY6rWyiKP5AUhW1yB-JXHDvTWVMs2eOxiBi,20241001,立川,1,F1,Ａ級予選,1,1,浦山　一栄,7,4,3,4,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8Fqbbn7ji3D48gABF4xBkZauv3ZxH0SEtdj61wJpDXHHza,20241001,立川,2,F1,Ａ級予選,1,1,内田　英介,5,3,2,6,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqaJ7ZWD1zyV0t-3goLOFTMprFUL9CRrKs62OHkTYlpfa,20241001,立川,3,F1,Ａ級予選,1,1,山崎　充央,7,1,6,1,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqTSd1rOBA_W-20X-mMR0hRGRa-6JHC4FHzxfEN7dUKui,20241001,立川,4,F1,Ａ級予選,1,1,浦山　一栄,4,1,5,2,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqShLonLVKyVTgfjgxI2XJoV44GBUfxN_iGWStbpr_kfC,20241001,立川,5,F1,Ａ級初日特選,1,1,内田　英介,2,1,7,5,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqXCwCQ7PuWFjgDGoVbQSGMtNLyxDpNzqqwy5H8q-4DVv,20241001,立川,6,F1,Ｓ級予選,1,1,鈴木　薫,7,2,7,6,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqWYol9oPcS6cFeNM-wRGpbxeLTtzKSvfj_6TMJX4GpsC,20241001,立川,7,F1,Ｓ級予選,1,1,寺沼　将彦,3,7,6,1,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqcfyxEkYXreLJbjfKPos6-NdJo5bB0ss_iNCTfsXbWJD,20241001,立川,8,F1,Ｓ級予選,1,1,長井　妙樹,2,4,1,"2,5",2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqSGhNU2xnbkk92GfIOZjLR2wG3k7wwdZj8zjNJ8ZC2c1,20241001,立川,9,F1,Ｓ級予選,1,1,山崎　充央,5,2,4,2,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8Fqf1vUkQs97TKRTLJLyoEszoePPXd5tRxkARpwSEpxdJc,20241001,立川,10,F1,Ｓ級予選,1,1,鈴木　薫,5,3,3,1,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqYohIAsuKeTWwPk9yFPBuUDTWbUSxx--lY9rWUuIJnKe,20241001,立川,11,F1,Ｓ級予選,1,1,寺沼　将彦,4,7,4,2,2024/10/01 07:02&nbsp;更新
bp6dAvRRo5C6cz9eTz8FqcjQMfbKmwxjaARio00Bx23qcYCp9Q-LnwgX6pxB9-MD,20241001,立川,12,F1,Ｓ級初日特選,1,1,長井　妙樹,4,5,7,4,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit436S9mn8HCJHfiFbox8039zi78U9Yisce_rj-oU9REAZ,20241001,川崎,1,F1,Ａ級一般,1,1,郷坪　和博,2,7,"1,3",,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit44T5Qt4-krOsr3nhbqFsWtG_N8ZunqZmp73AN4fHnqh5,20241001,川崎,2,F1,Ａ級一般,1,1,齋藤　輝彦,4,7,4,3,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit4_oCtNAA3XiQrOq7tVtC_PtdcenXgFxWj2LGflRndypr,20241001,川崎,3,F1,Ａ級特選,1,1,小原　太樹,1,3,3,5,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit46jNysemoPlZPLzcwM_5PfdK4xqa428X7E6uOw3V6jIi,20241001,川崎,4,F1,Ａ級特選,1,1,郷坪　和博,5,4,5,7,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit4wkuCid4zzEik_AbdUaaSTPXxuglssmvrXMYNn1Zu2wd,20241001,川崎,5,F1,Ｌ級ガールズ一般,1,1,伊藤　翼,6,4,6,1,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit48KqrpuD_F3iruHXTcIkLheKhDeM_3rtwFjkP5Vjrei9,20241001,川崎,6,F1,Ｓ級一般,1,1,法月　成祐,4,5,2,1,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit46DMVnOe2oVo1r74j5_cewoEuwIlIZ8DfDo6LYfMjsrw,20241001,川崎,7,F1,Ｓ級一般,1,1,小原　太樹,3,1,6,3,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit40VwJ4zMLAMEH5XGI5Nl3yF95kxyJDnFQLkkO7Fw_-p6,20241001,川崎,8,F1,Ｓ級特選,1,1,齋藤　輝彦,5,3,3,1,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit41UkjVkerqLEMrXz1TjuN8yCOqL5zeG9V0DCJxeXU0pM,20241001,川崎,9,F1,Ｓ級特選,1,1,法月　成祐,1,2,3,1,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit48hbduD2B8fiacnWwu_eQF0E46AoFZImyEtlzoAveQxK,20241001,川崎,10,F1,Ｌ級ガールズ決勝,1,1,郷坪　和博,7,2,4,1,2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit42Pp8P50DVXyMs-Fo65jpK_d5ryJbJhjqZt0oWP2HIFR,20241001,川崎,11,F1,Ａ級決勝,1,1,伊藤　翼,2,3,6,"1,2",2024/10/01 07:02&nbsp;更新
qB0b7MkHtkbTo5CbxWit40s9klq0EJUGA2_ZtMG7NvJDmLdbKg5IaHst1CYtMxAo,20241001,川崎,12,F1,Ｓ級決勝,1,1,小原　太樹,7,4,4,5,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6CeYhbbOcZNj59fEqbUAbmsPM55f9M-a2m9JR6eKgRR4,20241001,松阪,1,F1,Ａ級予選,1,1,中島　義之,4,1,2,1,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6OxWTs5XaJfmJd3lOKjgdhZlZR35OaaiUEhoDAsIRwNy,20241001,松阪,2,F1,Ａ級予選,1,1,高谷進太郎,1,5,6,5,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6LwHNjZE7OeSCVRMxtOIJRcmqYFYK_Dy5CKDUGDP0urY,20241001,松阪,3,F1,Ａ級予選,1,1,金子　浩貴,3,7,7,1,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6HPXvHpCPQlol2GOlhOofBc2k2Ofpec81LHOsTyS8hEc,20241001,松阪,4,F1,Ａ級予選,1,1,上田　国広,5,1,3,5,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6BTtQZalaXH4TmhBN6tIhzvuK11LCTXvab3ZEqYfDTBh,20241001,松阪,5,F1,Ａ級初日特選,1,1,中島　義之,2,1,2,4,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6EbRUu1SRhQfvzg9eaDTatGzjfFYhozT1LWI7pdPMvpQ,20241001,松阪,6,F1,Ｓ級予選,1,1,菱田　浩二,5,3,3,6,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6Bu5Qpg0RODGU_XBv0hlsSVfGLsfS_lmIAj0kuMweEvN,20241001,松阪,7,F1,Ｓ級予選,1,1,金子　浩貴,1,2,5,2,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6KgMrshe_Oysj39vSrYq8DhkOTrhQ_j0Gnp2YnDYrsN0,20241001,松阪,8,F1,Ｓ級予選,1,1,上田　国広,4,1,4,2,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6A17tVT8bed32GN3hqT0eVzvUCxbatR3EhJYeKRmo7dr,20241001,松阪,9,F1,Ｓ級予選,1,1,高谷進太郎,7,1,7,1,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6LGaGp8jTD8pnkEHXhvNE200jVlUKcnD1lDc-VhHDP-m,20241001,松阪,10,F1,Ｓ級予選,1,1,菱田　浩二,5,1,6,1,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6Of3WcVJ7tWgZlHEK9L-XD1UrK1Xuf2VKzP4YY_Ja8z-,20241001,松阪,11,F1,Ｓ級予選,1,1,金子　浩貴,4,7,6,4,2024/10/01 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6D0g9ntJqDp1o2lJsgmqIbtenkYa_aUlpyX6FEXH1EQg,20241001,松阪,12,F1,Ｓ級初日特選,1,1,上田　国広,7,5,2,5,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNoeL7dia-7lGCeuJTMvwXqT2gIG865OIEU__QvkqavM7,20241001,小松島,1,F1,Ａ級一般,1,1,藤田　洋平,4,7,7,3,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNv2ZLzBGUzkFj5nWWc861rPwNgBSopl009lwAv-gv_ve,20241001,小松島,2,F1,Ａ級一般,1,1,齋藤　仁,5,1,6,5,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNs-G8Y8RFANqkALBrxFrrFoZYh5Bunh4f6PscvIqV3-r,20241001,小松島,3,F1,Ａ級特選,1,1,藤田　洋平,5,7,3,4,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNvnJVkW1qK5WoUsHQ4Elnb7HZrWvpWrEnVjnx5SW_Qmy,20241001,小松島,4,F1,Ａ級特選,1,1,齋藤　仁,2,4,6,1,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNv0yttcZfXI6jjPwo8sDNMcQOxcvYCNYNon70D2FTKnP,20241001,小松島,5,F1,Ｓ級一般,1,1,滝山　実,5,4,3,6,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNuEEo2ggLxuP6QH3NNHlWkVGrelc0f0VFaUXk6g87Acx,20241001,小松島,6,F1,Ｓ級一般,1,1,堤　洋,4,3,4,5,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNvYGI-Bbv7ckcDTecmAbF3IGedik6BVHy844HJTmY6aF,20241001,小松島,7,F1,Ｓ級一般,1,1,藤岡　隆治,7,1,3,"5,7",2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNjuIL3X-LUHPGTYyULfFEg3dCUL3tk8ejeK1f-9JBJck,20241001,小松島,8,F1,Ｓ級特選,1,1,滝山　実,2,7,3,1,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNq6-BRyYXrhoAFwhUvb9W6a3BxNH7_-C_SCUtvu0EyOq,20241001,小松島,9,F1,Ｓ級特選,1,1,堤　洋,4,1,1,4,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNuCFqDxzh-zUXxtbR-Mqo6Oax3kSKYkts60NdfLrHTYj,20241001,小松島,10,F1,Ｓ級特選,1,1,藤岡　隆治,1,5,5,3,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNiAWVd84bxmj6r3sjVyFW7_cWETG0rurqqkKzsBa8mYO,20241001,小松島,11,F1,Ａ級決勝,1,1,齋藤　仁,7,1,3,7,2024/10/01 07:02&nbsp;更新
XzGw51U-QJL0SQ0YQD3SNil_jjuPpRev6O-vAmoWM-a8nDwgKGu9prrVRtblOsTo,20241001,小松島,12,F1,Ｓ級決勝,1,1,堤　洋,1,5,"1,7",,2024/10/01 07:02&nbsp;更新
SM9WnlmY3UDWFULjxp383ivn29N8JjhHSVU2jXi0CgYQrTTivScxZ46w-EzXAEy8,20241001,弥彦,1,F2,Ａ級チャレンジ一般,1,1,川村　昭弘,1,2,2,,2024/10/01 07:02&nbsp;更新
SM9WnlmY3UDWFULjxp383tbEh2Ixko1vlnhq2tQZqpsg29N04GU6mGqYRbvvd3wf,20241001,弥彦,2,F2,Ａ級チャレンジ一般,1,1,村上　順規,3,1,5,3,2024/10/01 07:02&nbsp;更新
