category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity,source_file,race_no_num,race_id
Ａ級予選,F1,,13.0,3,7.0,差し,相笠　翔太,福　島,2.0,逃げ,熊崎　麻人,埼　玉,4.0,,篠原　忍,愛　知,7-2,350円,(1),20240116,1R,いわき平,7-2-4,"1,270円",(3),keirin_results_20240101_20240222.csv,1,13_20240116_01
Ａ級予選,F1,,13.0,3,4.0,差し,伊藤　奎,福　島,2.0,逃げ,堀　航輝,青　森,7.0,,宇佐見裕輝,福　島,4-2,200円,(1),20240116,2R,いわき平,4-2-7,270円,(1),keirin_results_20240101_20240222.csv,2,13_20240116_02
Ａ級予選,F1,,13.0,3,7.0,差し,一ノ瀬貴将,大　阪,4.0,差し,中釜　健次,大　阪,2.0,,平石　浩之,茨　城,7-4,"1,400円",(6),20240116,3R,いわき平,7-4-2,"9,770円",(32),keirin_results_20240101_20240222.csv,3,13_20240116_03
Ａ級予選,F1,,13.0,3,7.0,差し,寺林　正秋,宮　城,1.0,逃げ,鈴木　涼介,福　島,4.0,,金子　兼久,宮　城,7-1,390円,(2),20240116,4R,いわき平,7-1-4,620円,(2),keirin_results_20240101_20240222.csv,4,13_20240116_04
Ａ級初日特選,F1,,13.0,3,7.0,捲り,松坂　侑亮,神奈川,3.0,マーク,春日　勇人,千　葉,1.0,,伊藤　勝太,愛　知,7-3,"1,050円",(3),20240116,5R,いわき平,7-3-1,"6,180円",(20),keirin_results_20240101_20240222.csv,5,13_20240116_05
Ｓ級予選,F1,,13.0,3,4.0,逃げ,真鍋　顕汰,三　重,1.0,マーク,小林　令,山　梨,5.0,,東　龍之介,神奈川,4-1,350円,(1),20240116,6R,いわき平,4-1-5,"1,790円",(4),keirin_results_20240101_20240222.csv,6,13_20240116_06
Ｓ級予選,F1,,13.0,3,1.0,差し,保科　千春,宮　城,4.0,捲り,真船圭一郎,福　島,3.0,,北野　武史,石　川,1-4,830円,(3),20240116,7R,いわき平,1-4-3,"6,750円",(23),keirin_results_20240101_20240222.csv,7,13_20240116_07
Ｓ級予選,F1,,13.0,3,1.0,差し,松岡　健介,兵　庫,6.0,マーク,木村　直隆,兵　庫,5.0,,畑段　嵐士,京　都,1-6,"4,300円",(13),20240116,8R,いわき平,1-6-5,"8,470円",(29),keirin_results_20240101_20240222.csv,8,13_20240116_08
Ｓ級予選,F1,,13.0,3,3.0,差し,小橋　秀幸,青　森,7.0,差し,五日市　誠,青　森,1.0,,萩原　孝之,静　岡,3-7,"5,120円",(16),20240116,9R,いわき平,3-7-1,"25,860円",(65),keirin_results_20240101_20240222.csv,9,13_20240116_09
Ｓ級予選,F1,,13.0,3,2.0,差し,大塚　玲,神奈川,4.0,逃げ,日高　裕太,静　岡,6.0,,吉田　健市,愛　知,2-4,"1,010円",(4),20240116,10R,いわき平,2-4-6,"13,460円",(45),keirin_results_20240101_20240222.csv,10,13_20240116_10
