category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級選抜,G3,,53,1,3,差し,志村　龍己,山　梨,1,捲り,川口　雄太,徳　島,4,,鰐淵　圭佑,群　馬,3-1,"1,550円",(5),20240223,1R,奈良,3-1-4,"6,420円",(17)
Ｓ級選抜,G3,,53,1,7,差し,平原　啓多,埼　玉,9,差し,須藤　悟,千　葉,4,,加藤　圭一,神奈川,7-9,"6,390円",(28),20240223,2R,奈良,7-9-4,"35,130円",(135)
Ｓ級選抜,G3,,53,1,7,捲り,谷口　明正,三　重,5,マーク,伊藤　正樹,愛　知,2,,奥村　諭志,岡　山,7-5,"1,280円",(4),20240223,3R,奈良,7-5-2,"6,270円",(14)
Ｓ級選抜,G3,,53,1,7,捲り,櫻井　学,群　馬,1,マーク,藤原　憲征,新　潟,2,,村田　瑞季,京　都,7-1,"2,080円",(6),20240223,4R,奈良,7-1-2,"17,130円",(46)
Ｓ級選抜,G3,,53,1,1,逃げ,池野　健太,兵　庫,7,マーク,松尾　勇吾,熊　本,9,,伊原　克彦,福　井,1-7,"1,950円",(5),20240223,5R,奈良,1-7-9,"13,460円",(36)
Ｓ級二次予選,G3,,53,1,6,差し,小林　大介,群　馬,3,差し,松坂　洋平,神奈川,5,,鈴木　庸之,新　潟,6-3,"54,350円",(52),20240223,6R,奈良,6-3-5,"336,140円",(308)
Ｓ級二次予選,G3,,53,1,2,差し,松谷　秀幸,神奈川,4,マーク,海老根恵太,千　葉,9,,山本　伸一,奈　良,2-4,810円,(3),20240223,7R,奈良,2-4-9,"3,620円",(12)
Ｓ級二次予選,G3,,53,1,3,差し,守澤　太志,秋　田,5,差し,末木　浩二,山　梨,8,,小沼　良,埼　玉,3-5,"1,450円",(5),20240223,8R,奈良,3-5-8,"16,080円",(49)
Ｓ級二次予選,G3,,53,1,7,差し,三谷　将太,奈　良,1,逃げ,藤井　侑吾,愛　知,5,,松岡　健介,兵　庫,7-1,350円,(2),20240223,9R,奈良,7-1-5,590円,(2)
Ｓ級二次予選,G3,,53,1,1,差し,菅田　壱道,宮　城,5,逃げ,新山　響平,青　森,4,,佐藤愼太郎,福　島,1-5,290円,(2),20240223,10R,奈良,1-5-4,620円,(2)
Ｓ級二次予選,G3,,53,1,5,捲り,脇本　雄太,福　井,2,マーク,南　修二,大　阪,3,,荻原　尚人,宮　城,5-2,130円,(1),20240223,11R,奈良,5-2-3,940円,(4)
Ｓ級二次予選,G3,,53,1,1,捲り,古性　優作,大　阪,7,マーク,三谷　竜生,奈　良,9,,西村　光太,三　重,1-7,170円,(1),20240223,12R,奈良,1-7-9,"1,550円",(7)
Ａ級一般,F1,,36,1,1,差し,佐藤　有輝,神奈川,4,マーク,柴田　健,神奈川,5,,田中　勝仁,千　葉,1-4,"1,490円",(7),20240223,1R,小田原,1-4-5,"3,220円",(12)
Ａ級一般,F1,,36,1,5,差し,法月　成祐,神奈川,6,マーク,赤井　学,千　葉,2,,佐山　俊樹,埼　玉,5-6,980円,(4),20240223,2R,小田原,5-6-2,"3,090円",(12)
Ａ級特選,F1,,36,1,2,差し,渡邊　健,愛　知,7,捲り,石橋慎太郎,静　岡,5,,野村　純宏,神奈川,2-7,"1,040円",(4),20240223,3R,小田原,2-7-5,"2,190円",(4)
Ａ級特選,F1,,36,1,7,差し,江連　和洋,栃　木,3,捲り,深澤　伸介,静　岡,4,,大利　航平,和歌山,7-3,"6,080円",(12),20240223,4R,小田原,7-3-4,"38,330円",(57)
Ｓ級一般,F1,,36,1,2,逃げ,仁藤　秀,静　岡,5,差し,松坂　英司,神奈川,1,,岩本　和也,石　川,2-5,"3,600円",(15),20240223,5R,小田原,2-5-1,"14,110円",(54)
Ｓ級一般,F1,,36,1,7,捲り,大矢　崇弘,東　京,1,マーク,柴田　洋輔,東　京,6,,田中　孝彦,静　岡,7-1,510円,(1),20240223,6R,小田原,7-1-6,"7,100円",(22)
