category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,74,1,1,逃げ,畝木　努,岡　山,9,差し,吉田　勇人,埼　玉,6,,柏木　伸介,静　岡,1-9,"1,990円",(7),20240414,1R,高知,1-9-6,"41,250円",(123)
Ｓ級一般,G3,,74,1,5,捲り,伊東　翔貴,福　島,9,差し,磯田　旭,栃　木,3,,平沼　由充,福　島,5-9,430円,(1),20240414,2R,高知,5-9-3,"1,580円",(3)
Ｓ級選抜,G3,,74,1,9,差し,谷口　明正,三　重,7,差し,坂本健太郎,福　岡,4,,新納　大輝,鹿児島,9-7,"1,470円",(4),20240414,3R,高知,9-7-4,"11,020円",(33)
Ｓ級選抜,G3,,74,1,5,差し,佐々木則幸,高　知,9,マーク,坂本　周作,青　森,7,,保科　千春,宮　城,5-9,"6,510円",(16),20240414,4R,高知,5-9-7,"21,260円",(59)
Ｓ級選抜,G3,,74,1,3,捲り,上野　雅彦,香　川,7,マーク,中村　昌弘,広　島,2,,阿部　大樹,埼　玉,3-7,"2,680円",(7),20240414,5R,高知,3-7-2,"13,210円",(30)
Ｌ級ガールズ　フレッシュクイーン,G3,,74,1,3,差し,畠山ひすい,北海道,4,差し,又多　風緑,石　川,2,,竹野　百香,三　重,3-4,"3,360円",(14),20240414,6R,高知,3-4-2,"10,050円",(34)
Ｓ級特選,G3,,74,1,7,差し,石毛　克幸,千　葉,9,捲り,石塚輪太郎,和歌山,5,,池田　勇人,埼　玉,7-9,840円,(2),20240414,7R,高知,7-9-5,"5,670円",(8)
Ｓ級特選,G3,,74,1,7,捲り,山田　諒,岐　阜,1,マーク,伊代野貴照,奈　良,2,,福島　武士,香　川,7-1,930円,(3),20240414,8R,高知,7-1-2,"4,940円",(13)
Ｓ級特選,G3,,74,1,1,捲り,島川　将貴,徳　島,4,マーク,田尾　駿介,高　知,6,,掛水　泰範,高　知,1-4,500円,(1),20240414,9R,高知,1-4-6,"1,240円",(1)
Ｓ級特別優秀,G3,,74,1,3,捲り,野口　裕史,千　葉,7,差し,柏野　智典,岡　山,9,,橋本　強,愛　媛,3-7,"3,710円",(13),20240414,10R,高知,3-7-9,"21,070円",(56)
Ｓ級特別優秀,G3,,74,1,4,捲り,岩谷　拓磨,福　岡,3,差し,山崎　芳仁,福　島,9,,南　修二,大　阪,4-3,"6,190円",(21),20240414,11R,高知,4-3-9,"21,890円",(72)
Ｓ級決勝,G3,,74,1,8,差し,阿部　将大,大　分,7,差し,清水　裕友,山　口,5,,坂井　洋,栃　木,8-7,"5,830円",(22),20240414,12R,高知,8-7-5,"46,680円",(138)
Ａ級一般,F1,,83,3,1,捲り,竹元　健竜,福　岡,5,マーク,三槻　智清,佐　賀,4,,三登　誉哲,広　島,1-5,300円,(1),20240414,1R,久留米,1-5-4,"3,390円",(9)
Ａ級一般,F1,,83,3,5,捲り,中野光太郎,徳　島,3,マーク,近藤　修康,岡　山,1,,宮倉　勇,千　葉,5-3,270円,(1),20240414,2R,久留米,5-3-1,610円,(1)
Ａ級準決勝,F1,,83,3,2,逃げ,矢野　昌彦,栃　木,7,マーク,田村　真広,群　馬,1,,山本　浩成,福　岡,2-7,530円,(3),20240414,3R,久留米,2-7-1,990円,(2)
Ａ級準決勝,F1,,83,3,6,捲り,橋本　陸,福　岡,3,マーク,小原　亮哉,大　分,5,,栗田　貴徳,愛　媛,6-3,"10,160円",(16),20240414,4R,久留米,6-3-5,"50,360円",(70)
Ａ級準決勝,F1,,83,3,2,逃げ,長松　空吾,大　分,7,マーク,阪本　正和,長　崎,1,,安彦　統賀,埼　玉,2-7,"1,580円",(6),20240414,5R,久留米,2-7-1,"5,190円",(15)
