rider_id,source_url,profile_updated_at,name,prefecture,period,age,current_grade,registration_no,region,name_kana,birthdate,grade_join_date,current_official_score,next_grade,style_profile,gender,grade_history,career_start_date,experience_years,constellation,kyusei,blood_type,height_cm,weight_kg,chest_cm,thigh_cm,back_strength_kg,lung_capacity,home_bank,home_training_track,favorite_track_length,favorite_track,favorite_bike_no,favorite_food,disliked_food,cycling_history,junior_high_sport,high_school_sport,college_sport,exam_category,keirin_school_firsts,keirin_school_seconds,keirin_school_thirds,keirin_school_other_finish,keirin_school_rank,keirin_school_record,entry_name,entry_prefecture,entry_style,entry_recent_score
015587,https://keirin.jp/sp/racerprofile?snum=015587,2025/11/08 02:35,吉川　美穂,和歌山県,120期,32,Ｌ級１班,015587,近畿,ヨシカワ　ミホ,1993/01/15,2021/03/01,57.26,Ｌ級１班,両,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2021/03/01""}]",2021-03-01,4.71,山羊座,八白,A,167.0,62.0,92.0,61.0,183.0,-,和歌山,-,333m,-,-,フルーツ、肉,パクチー,2017アジア選手権ロードレース３位　2018アジア大会トラックレースＴeamPursuit３位2019アジア選手権トラックレースTeamPursuit２位　2019全日本選手権トラックレース500ｍＴＴ１位　2020全日本選手権トラックレースマディソン３位（内野ペア）,ソフトボール,ソフトボール,自転車競技,技能,,,,,,1 1 1 (5),吉川　美穂,和歌山,両,54.66
015502,https://keirin.jp/sp/racerprofile?snum=015502,2025/01/01 02:34,廣木　まこ,福岡県,118期,32,Ｌ級１班,015502,九州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,廣木　まこ,福　岡,両,53.76
015669,https://keirin.jp/sp/racerprofile?snum=015669,2025/11/15 02:35,河内　桜雪,群馬県,122期,22,Ｌ級１班,015669,北関東,カワウチ　サユキ,2002/12/31,2022/03/18,53.13,Ｌ級１班,追,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2022/03/18""}]",2022-03-18,3.67,山羊座,七赤,O,155.6,54.0,,59.0,100.0,-,前橋,-,333m,前橋,１,ポテト,なし,2019全国高等学校選抜自転車競技大会500ｍＴＴ　4位,自転車競技,自転車競技,-,-,,,,,,3 4,河内　桜雪,群　馬,両,52.55
015216,https://keirin.jp/sp/racerprofile?snum=015216,2025/11/11 02:35,加藤　恵,青森県,112期,40,Ｌ級１班,015216,東北,カトウ　メグミ,1985/10/16,2017/07/01,49.9,Ｌ級１班,両,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2017/07/01""}, {""grade"": ""Ａ級２班"", ""start_date"": ""2017/05/01""}]",2017-05-01,8.54,天秤座,六白,O,171.0,78.0,,66.0,118.0,5140cc,-,八戸自転車競技場,-,-,３,量が多ければ何でも！！,ホヤ、生ガキ(あたったから),-,ソフトボール,ソフトボール,ソフトボール・水泳,技能,,,,,9位,3 2 3 (5),加藤　恵,青　森,両,49.6
014909,https://keirin.jp/sp/racerprofile?snum=014909,2025/11/15 02:35,浦部　郁里,千葉県,102期,38,Ｌ級１班,014909,南関東,ウラベ　カオリ,1987/01/06,2017/07/01,48.33,Ｌ級１班,追,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2017/07/01""}, {""grade"": ""Ａ級２班"", ""start_date"": ""2012/05/01""}]",2012-05-01,13.54,山羊座,五黄,O,155.2,55.6,,59.0,162.0,3800cc,松戸,-,-,-,２・３,スイカ・きゅうり・肉,生クリーム・甘いもの,-,剣道,剣道,-,技能,,,,,22位,5・4・5・2,浦部　郁里,千　葉,両,48.33
015075,https://keirin.jp/sp/racerprofile?snum=015075,2025/11/10 02:34,溝口　香奈,大分県,108期,40,Ｌ級１班,015075,九州,ミゾグチ　カナ,1985/07/30,2017/07/01,44.55,Ｌ級１班,追,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2017/07/01""}, {""grade"": ""Ａ級２班"", ""start_date"": ""2015/05/01""}]",2015-05-01,10.55,獅子座,六白,A,156.1,53.3,,59.0,137.0,3900cc,別府,-,-,別府,１,うなぎ、刺身,-,-,-,硬式テニス,アイスホッケー,技能,,,,,7位,3 4 2 (6),溝口　香奈,大　分,両,46.29
015759,https://keirin.jp/sp/racerprofile?snum=015759,2025/11/10 02:34,星野　しほ,東京都,124期,25,Ｌ級１班,015759,南関東,ホシノ　シホ,2000/03/17,2023/03/10,45.87,Ｌ級１班,追,女,"[{""grade"": ""Ｌ級１班"", ""start_date"": ""2023/03/10""}]",2023-03-10,2.69,魚座,九紫,B,157.0,54.0,,56.0,110.0,-,立川,-,-,立川,-,エビフライ,トマト,-,ソフトボール,ソフトボール,-,-,,,,,,6 5 5 5,星野　しほ,東　京,両,45.53
014956,https://keirin.jp/sp/racerprofile?snum=014956,2025/11/04 02:35,小川　賢人,福岡県,103期,40,Ｓ級２班,014956,九州,オガワ　ケント,1985/05/06,2017/07/01,105.2,Ａ級１班,両,男,"[{""grade"": ""Ｓ級２班"", ""start_date"": ""2017/07/01""}, {""grade"": ""Ａ級１班"", ""start_date"": ""2015/07/01""}, {""grade"": ""Ａ級２班"", ""start_date"": ""2014/07/01""}]",2014-07-01,11.38,牡牛座,六白,O,175.0,76.0,96.3,59.0,189.0,4500cc,久留米,-,-,-,１,IN-N-OUTのハンバーガー､タコス､フォー,カレー,-,陸上,陸上,-,技能,,,,,19位,1･3･5･5,小川　賢人,福　岡,両,100.7
015195,https://keirin.jp/sp/racerprofile?snum=015195,2025/11/10 02:34,久保田　泰弘,山口県,111期,30,Ｓ級２班,015195,中国,クボタ　ヤスヒロ,1995/04/06,2025/07/01,100.22,Ｓ級２班,追,男,"[{""grade"": ""Ｓ級２班"", ""start_date"": ""2025/07/01""}, {""grade"": ""Ｓ級１班"", ""start_date"": ""2024/07/01""}, {""grade"": ""Ｓ級２班"", ""start_date"": ""2022/07/01""}]",2022-07-01,3.38,牡羊座,五黄,O,166.0,74.0,102.0,61.0,160.0,5700cc,防府,-,333m,防府,８,焼肉,レバー,-,自転車競技,自転車競技,-,技能,,,,,29位,2 2 1 (7),久保田泰弘,山　口,追,106.3
014640,https://keirin.jp/sp/racerprofile?snum=014640,2025/11/14 02:36,新山　将史,青森県,98期,34,Ｓ級１班,014640,東北,シンザン　マサシ,1990/12/11,2025/01/01,105.81,Ｓ級１班,追,男,"[{""grade"": ""Ｓ級１班"", ""start_date"": ""2025/01/01""}, {""grade"": ""Ｓ級２班"", ""start_date"": ""2024/07/01""}, {""grade"": ""Ｓ級１班"", ""start_date"": ""2022/01/01""}]",2022-01-01,3.87,射手座,一白,A,173.2,76.0,95.0,61.5,172.0,5080cc,-,八戸自転車競技場,-,-,１・８,焼き肉・スパイシーモスチーズバーガー,ヤングコーン,平成２０年　インターハイ３km個人追抜き　第４位　平成２０年　インターハイチームスプリント　第１位　平成２０年　国体４km速度競走　第２位,野球,自転車競技,-,技能,,,,,25位,1・3・3・(6),新山　将史,青　森,追,106.16
